"url","post_id","post_url","comment_id","user_name","user_id","user_url","date_created","comment_text","num_likes","replies","num_replies","attached_files","video_length","source_type","subtype","type","commentator_profile","comment_link","get_all_replies","original_post_id","reply","limit_records","timestamp","input","error","error_code","warning","warning_code"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:15.114Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/3960540934202729/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:15.137Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02Gj33yY6du96eobLND79KdWcGTiFa7vm73JZNw15aNc6ojKJSAPiSvbEmqXsZeSkQl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:15.263Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/659762073241388/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:15.426Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0MXQyebTRay3J4Zp4XADhERpSQPzqEtrsfcnxofQFt5B5m5hVfBaXUeCZZZfrHgdpl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:15.692Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/519803600869553/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:16.474Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0LKr6oVgzDU5GtZsYs6kqSVmoYJgRvEH2a196Q9XNwPzjW4ZWMsz3W6ku9535Kxaol"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:16.776Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/2049137628831307/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:16.796Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0286RC4yfwwDJLmqx6KwQkZuB1E2BPXBgCaDAmyvG5rtttCvvZp1gktC5w5KQq3KzUl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:16.904Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0FKtqTQsMPrmsjbKoBNyFAh8N1g4oEy2ZxMRs7mGTDWWoDGT911GKtJdiR1y99z3fl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:16.945Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0gCESA3erNXBpLKS9kYfKK1iRD8Ebz9JjBCPbyDEFDaWFLskj2vMtAHXt3NoV1n6il"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:17.340Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid027d7cw5MC14G99mFckYnuSozVVrXcRweojwVNUpG6Wd1QBv4Kg3KmnTYDwoStje3El"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:17.414Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02a3fFq7YXp6gZmZ3aSKogiGcUearBj9cUUCKDePxShcBX4Xx8UjnEg7BmnmtyBCDdl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:18.063Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/1294209405217099/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:18.143Z","{""url"":""https://www.facebook.com/reel/861496956090622/"",""get_all_replies"":true,""limit_records"":""""}",,,"For this type of posts (reels) comments are not available.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:18.282Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02CQWRpcjeDj6ZnKqBQPv5XqcD1TRKW2NHGMX6QxNNTKWHEVvdTwpyfmQrRkJaqiX1l"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:18.685Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid0MVfdXMP2jPLZPhUdDHkq3ieX1Kqmo3NDwK4yMpCwCRw4VDW822qUwZiiyCpVvjvgl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:18.942Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid02s4NeuTDPUGjznSqAxRgXgBGwuHujzWmvnuDRm146Yi1zUPxzZSWbwDPFACSEmdoLl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:19.244Z","{""url"":""https://www.facebook.com/cuprasingapore/videos/888493093293678/"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,"2025-05-29T10:21:19.401Z","{""url"":""https://www.facebook.com/cuprasingapore/posts/pfbid029ejYDMCTrXVZJkoWgmf4fGLQCRXQ59cHLqiXDbddPA681bUJHrZkotCboWNsQ2Zsl"",""get_all_replies"":true,""limit_records"":""""}",,,"This post has no comments.","dead_page"
